time,x,y,phi,vcx,vcy,wc,
2.28,0.10752,0,0.385,0.15817,-0.064095,0.5
2.3,0.11093,0,0.395,0.15999,-0.0667,0.5
2.32,0.1144,0,0.405,0.16176,-0.069347,0.5
2.34,0.11792,0,0.415,0.1635,-0.072037,0.5
2.36,0.12149,0,0.425,0.1652,-0.074768,0.5
2.38,0.12512,0,0.435,0.16686,-0.07754,0.5
2.4,0.1288,0,0.445,0.16849,-0.080352,0.5
2.42,0.13253,0,0.455,0.17007,-0.083205,0.5
2.44,0.13632,0,0.465,0.17161,-0.086097,0.5
2.46,0.14016,0,0.475,0.17312,-0.089029,0.5
2.48,0.14405,0,0.485,0.17458,-0.091998,0.5
2.5,0.148,0,0.495,0.17599,-0.095006,0.5
2.52,0.152,0,0.505,0.17737,-0.098052,0.5
2.54,0.15605,0,0.515,0.1787,-0.10113,0.5
2.56,0.16016,0,0.525,0.17999,-0.10425,0.5
2.58,0.16432,0,0.535,0.18123,-0.10741,0.5
2.6,0.16853,0,0.545,0.18243,-0.1106,0.5
2.62,0.1728,0,0.555,0.18358,-0.11382,0.5
2.64,0.17712,0,0.565,0.18468,-0.11708,0.5
2.66,0.18149,0,0.575,0.18574,-0.12037,0.5
2.68,0.18592,0,0.585,0.18675,-0.12369,0.5
2.7,0.1904,0,0.595,0.18771,-0.12705,0.5
2.72,0.19493,0,0.605,0.18863,-0.13044,0.5
2.74,0.19952,0,0.615,0.18949,-0.13385,0.5
2.76,0.20416,0,0.625,0.19031,-0.1373,0.5
2.78,0.20885,0,0.635,0.19107,-0.14078,0.5
2.8,0.2136,0,0.645,0.19178,-0.14429,0.5
2.82,0.2184,0,0.655,0.19245,-0.14782,0.5
2.84,0.22325,0,0.665,0.19306,-0.15139,0.5
2.86,0.22816,0,0.675,0.19362,-0.15497,0.5
2.88,0.23312,0,0.685,0.19412,-0.15859,0.5
2.9,0.23813,0,0.695,0.19457,-0.16223,0.5
2.92,0.2432,0,0.705,0.19497,-0.1659,0.5
2.94,0.24832,0,0.715,0.19532,-0.16959,0.5
2.96,0.25349,0,0.725,0.19561,-0.1733,0.5
2.98,0.25872,0,0.735,0.19584,-0.17704,0.5
3,0.264,0,0.745,0.19602,-0.18079,0.5
3.02,0.26933,0,0.755,0.19615,-0.18457,0.5
3.04,0.27472,0,0.765,0.19622,-0.18837,0.5
3.06,0.28016,0,0.775,0.19623,-0.19219,0.5
3.08,0.28565,0,0.785,0.19618,-0.19603,0.5
3.1,0.2912,0,0.795,0.19608,-0.19988,0.5
3.12,0.2968,0,0.805,0.19592,-0.20375,0.5
3.14,0.30245,0,0.815,0.1957,-0.20764,0.5
3.16,0.30816,0,0.825,0.19542,-0.21155,0.5
3.18,0.31392,0,0.835,0.19509,-0.21547,0.5
3.2,0.31973,0,0.845,0.19469,-0.2194,0.5
3.22,0.3256,0,0.855,0.19424,-0.22335,0.5
3.24,0.33152,0,0.865,0.19373,-0.22731,0.5
3.26,0.33749,0,0.875,0.19315,-0.23129,0.5
3.28,0.34352,0,0.885,0.19252,-0.23527,0.5
